Tanggal,DKI Jakarta,,,,,,,,
13/12/2021,"128,350",,,,,,,,
20/12/2021,"128,350",,,,,,,,
27/12/2021,"128,350",,,,,,,,
03/01/2022,"128,350",,,,,,,,
10/01/2022,"127,680",,,,,,,,
17/01/2022,"128,350",,,,,,,,
24/01/2022,"128,350",,,,,,,,
31/01/2022,"128,350",,,,,,,,
07/02/2022,"128,350",,,,,,,,
14/02/2022,"131,180",,,,,,,,
21/02/2022,"136,000",,,,,,,,
28/02/2022,"140,000",,,,,,,,
07/03/2022,"140,000",,,,,,,,
14/03/2022,"140,980",,,,,,,,
21/03/2022,"140,850",,,,,,,,
28/03/2022,"140,850",,,,,,,,
04/04/2022,"144,150",,,,,,,,
11/04/2022,"146,170",,,,,,,,
18/04/2022,"146,675",,,,,,,,
25/04/2022,"149,905",,,,,,,,
02/05/2022,"148,100",,,,,,,,
09/05/2022,"146,675",,,,,,,,
16/05/2022,"146,675",,,,,,,,
23/05/2022,"146,675",,,,,,,,
30/05/2022,"146,675",,,,,,,,
06/06/2022,"146,675",,,,,,,,
13/06/2022,"146,675",,,,,,,,
20/06/2022,"146,510",,,,,,,,
27/06/2022,"146,675",,,,,,,,
04/07/2022,"145,935",,,,,,,,
11/07/2022,"146,480",,,,,,,,
18/07/2022,"145,825",,,,,,,,
25/07/2022,"145,825",,,,,,,,
01/08/2022,"145,825",,,,,,,,
08/08/2022,"145,410",,,,,,,,
15/08/2022,"145,825",,,,,,,,
22/08/2022,"146,110",,,,,,,,
29/08/2022,"145,825",,,,,,,,
05/09/2022,"145,180",,,,,,,,
12/09/2022,"145,560",,,,,,,,
19/09/2022,"145,225",,,,,,,,
26/09/2022,"145,660",,,,,,,,
03/10/2022,"142,500",,,,,,,,
10/10/2022,"142,500",,,,,,,,
17/10/2022,"142,500",,,,,,,,
24/10/2022,"142,500",,,,,,,,
31/10/2022,"142,500",,,,,,,,
07/11/2022,"143,000",,,,,,,,
14/11/2022,"142,500",,,,,,,,
21/11/2022,"142,500",,,,,,,,
28/11/2022,"142,500",,,,,,,,
05/12/2022,"142,500",,,,,,,,
12/12/2022,"142,500",,,,,,,,
19/12/2022,"142,500",,,,,,,,
26/12/2022,"141,790",,,,,,,,
02/01/2023,"141,365",,,,,,,,
09/01/2023,"140,825",,,,,,,,
16/01/2023,"140,825",,,,,,,,
23/01/2023,"140,825",,,,,,,,
30/01/2023,"140,825",,,,,,,,
06/02/2023,"140,825",,,,,,,,
13/02/2023,"140,825",,,,,,,,
20/02/2023,"140,825",,,,,,,,
27/02/2023,"140,825",,,,,,,,
06/03/2023,"140,825",,,,,,,,
13/03/2023,"140,825",,,,,,,,
20/03/2023,"140,825",,,,,,,,
27/03/2023,"141,295",,,,,,,,
03/04/2023,"140,825",,,,,,,,
10/04/2023,"140,825",,,,,,,,
17/04/2023,"145,000",,,,,,,,
24/04/2023,"145,000",,,,,,,,
01/05/2023,"145,000",,,,,,,,
08/05/2023,"141,640",,,,,,,,
15/05/2023,"141,650",,,,,,,,
22/05/2023,"141,650",,,,,,,,
29/05/2023,"141,650",,,,,,,,
05/06/2023,"141,650",,,,,,,,
12/06/2023,"141,650",,,,,,,,
19/06/2023,"141,650",,,,,,,,
26/06/2023,"141,650",,,,,,,,
03/07/2023,"141,650",,,,,,,,
10/07/2023,"141,650",,,,,,,,
17/07/2023,"141,650",,,,,,,,
24/07/2023,"141,650",,,,,,,,
31/07/2023,"141,650",,,,,,,,
07/08/2023,"141,650",,,,,,,,
14/08/2023,"141,650",,,,,,,,
21/08/2023,"141,650",,,,,,,,
28/08/2023,"141,650",,,,,,,,
04/09/2023,"141,650",,,,,,,,
11/09/2023,"141,650",,,,,,,,
18/09/2023,"141,650",,,,,,,,
25/09/2023,"141,650",,,,,,,,
02/10/2023,"141,650",,,,,,,,
09/10/2023,"141,650",,,,,,,,
16/10/2023,"141,650",,,,,,,,
23/10/2023,"141,650",,,,,,,,
30/10/2023,"141,650",,,,,,,,
06/11/2023,"141,650",,,,,,,,
13/11/2023,"141,650",,,,,,,,
20/11/2023,"141,650",,,,,,,,
27/11/2023,"141,650",,,,,,,,
04/12/2023,"141,650",,,,,,,,
11/12/2023,"141,650",,,,,,,,
18/12/2023,"141,650",,,,,,,,
25/12/2023,"141,650",,,,,,,,
01/01/2024,"141,650",,,,,,,,
08/01/2024,"141,650",,,,,,,,
15/01/2024,"141,650",,,,,,,,
22/01/2024,"141,650",,,,,,,,
29/01/2024,"141,650",,,,,,,,
05/02/2024,"141,650",,,,,,,,
12/02/2024,"141,650",,,,,,,,
19/02/2024,"141,650",,,,,,,,
26/02/2024,"141,650",,,,,,,,
04/03/2024,"141,650",,,,,,,,
11/03/2024,"141,650",,,,,,,,
18/03/2024,"141,650",,,,,,,,
25/03/2024,"141,650",,,,,,,,
01/04/2024,"144,150",,,,,,,,
